2025/06/21 01:11:00 [error] 4117605#4117605: *40583 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /public/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:01 [error] 4117605#4117605: *40586 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /html/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:01 [error] 4117605#4117605: *40589 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /www/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:01 [error] 4117605#4117605: *40592 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /web/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:02 [error] 4117605#4117605: *40595 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /server/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:02 [error] 4117605#4117605: *40598 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /server-info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:03 [error] 4117605#4117605: *40601 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /example/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:03 [error] 4117605#4117605: *40604 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /backup/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:03 [error] 4117605#4117605: *40607 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /panel/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:04 [error] 4117605#4117605: *40610 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /cpanel/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
